 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1024.0 1024.0  0.0   696.9  24576.0  11329.5   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  12915.1   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  14417.8   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  15964.7   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  17500.0   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  19025.4   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  20701.5   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  22605.9   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0  24128.6   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0 639.6   0.0   24576.0   1097.6   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0   3016.7   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0   4563.4   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0   6139.4   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0   7717.0   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0   9289.4   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  10925.8   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  12459.7   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  14318.3   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  15869.2   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  17423.9   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  18925.2   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  20587.7   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  22485.0   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0 639.6   0.0   24576.0  23999.2   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    124    0.376   5      0.321    0.697
1024.0 1024.0  0.0   701.2  24576.0   995.3    88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0   2758.7   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0   4596.0   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0   6116.4   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0   7988.5   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0   9832.7   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0  11394.6   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
1024.0 1024.0  0.0   701.2  24576.0  12933.1   88576.0    57035.9   46080.0 42649.4 7168.0 6144.0    125    0.377   5      0.321    0.698
